iter	Accuracy	Logloss
78	0.865765056	0.3161127549
79	0.8657212885	0.3159795988
80	0.8658088235	0.3158133254
81	0.8659838936	0.3154309602
82	0.8659838936	0.3150660327
83	0.865765056	0.3149324003
84	0.8662027311	0.3147012946
85	0.8660276611	0.3146051037
86	0.8660276611	0.3145127118
87	0.8663778011	0.3137646656
88	0.8663778011	0.3136767265
89	0.8667717087	0.3135895659
90	0.8668592437	0.3135303646
91	0.8671656162	0.3133987336
92	0.8669030112	0.3133232125
93	0.8671656162	0.3132082564
94	0.8669030112	0.3131091824
95	0.8670780812	0.3130113633
96	0.8676908263	0.3126222522
97	0.8675157563	0.3124814123
98	0.8678221289	0.3119022373
99	0.8678658964	0.311808493
100	0.8675157563	0.3117421582
101	0.8678221289	0.3113838908
102	0.8677783613	0.31105108
103	0.8677345938	0.3109628837
104	0.8679971989	0.310863904
105	0.8679096639	0.3107890139
106	0.8681722689	0.3107081905
107	0.8681722689	0.3106166174
108	0.8683473389	0.3105426962
109	0.8682160364	0.3104564228
110	0.8683473389	0.3100898483
111	0.8683911064	0.309999744
112	0.868609944	0.3097068525
113	0.8690038515	0.3091495733
114	0.8691789216	0.3089084626
115	0.8691789216	0.3088068508
116	0.8693539916	0.3086593819
117	0.8693539916	0.3085811854
118	0.8693539916	0.308281857
119	0.8694852941	0.3076434286
120	0.8694415266	0.3075734367
121	0.8692664566	0.3075117544
122	0.8694415266	0.3074628466
123	0.8697478992	0.306990587
124	0.8697041317	0.3065917466
125	0.8697916667	0.306111483
126	0.8697916667	0.30592866
127	0.8698354342	0.3058543381
128	0.8698354342	0.3057781589
129	0.8697916667	0.3057105102
130	0.8700542717	0.30535098
131	0.8704044118	0.3052944856
132	0.8705794818	0.3052382378
133	0.8704919468	0.3051602209
134	0.8707545518	0.3050747475
135	0.8705794818	0.3050284034
136	0.8706232493	0.3046743386
137	0.8707107843	0.3046146684
138	0.8706670168	0.3045692568
139	0.8707545518	0.3045170925
140	0.8708858543	0.3044514178
141	0.8708858543	0.3043915396
142	0.8710171569	0.304340006
143	0.8711922269	0.3041345949
144	0.8711046919	0.3040888109
145	0.8711046919	0.3040412731
146	0.8711484594	0.3039947769
147	0.8713672969	0.3039379193
148	0.8714548319	0.30389544
149	0.8714548319	0.3038356519
150	0.8714985994	0.3037652431
151	0.8714548319	0.3034993726
152	0.8713672969	0.3030956845
153	0.8712359944	0.3030620579
154	0.8713235294	0.3030077026
155	0.8713235294	0.3029738004
156	0.8711046919	0.3029178363
157	0.8710609244	0.3028676525
158	0.8712797619	0.3028246263
159	0.8712359944	0.3028001227
160	0.8713235294	0.3027290834
161	0.8712359944	0.302668569
162	0.8714110644	0.3026340298
163	0.8715423669	0.3024973331
164	0.8714548319	0.3024624527
165	0.8714110644	0.3024270064
166	0.8713672969	0.3023706553
167	0.8714985994	0.3023305869
168	0.8715861345	0.3022951735
169	0.871717437	0.3022121687
170	0.871629902	0.3021657943
171	0.8715861345	0.3021145659
172	0.871629902	0.3020756152
173	0.871717437	0.3020203945
174	0.871629902	0.3019930303
175	0.871717437	0.3019492724
176	0.8717612045	0.3018836224
177	0.871804972	0.30184561
178	0.8716736695	0.3017912994
179	0.8716736695	0.3017252066
180	0.871629902	0.3016978984
181	0.871629902	0.3015244941
182	0.871804972	0.3014759762
183	0.871892507	0.3014310589
184	0.8717612045	0.3014128132
185	0.871804972	0.3013763823
186	0.871804972	0.3012874693
187	0.871980042	0.3012545091
188	0.871892507	0.3012209516
189	0.871892507	0.3011834912
190	0.871892507	0.3011295169
191	0.872067577	0.3010855654
192	0.8722864146	0.3010309534
193	0.8723739496	0.3008936216
194	0.8722864146	0.3008630689
195	0.8724177171	0.3008212334
196	0.8724177171	0.3007491878
197	0.8723301821	0.3007227534
198	0.8724614846	0.3006985972
199	0.8725490196	0.3006558081
